i;Ii;Ji;Ni
1;0;0;-0.691997014660582
2;0;1;-0.183612548787560E2
3;0;2;-0.928332409297335E1
4;0;4;0.659639569909906E2
5;0;5;-0.162060388912024E2
6;0;6;0.450620017338667E3
7;0;8;0.854680678224170E3
8;0;14;0.607523214001162E4
9;1;0;0.326487682621856E2
10;1;1;-0.269408844582931E2
11;1;4;-0.319947848334300E3
12;1;6;-0.928354307043320E3
13;2;0;0.303634537455249E2
14;2;1;-0.650540422444146E2
15;2;10;-0.430991316516130E4
16;3;4;-0.747512324096068E3
17;4;1;0.730000345529245E3
18;4;4;0.114284032569021E4
19;5;0;-0.436407041874559E3
